id_spoti,id_lastfm,artist_name,listeners,popularity,genres,start_date,language
06HL4z0CvFAxyc27GXpf02,20244d07-534f-4eff-b4d4-930878889970,Taylor Swift,6100751,,"country, pop, country pop, alternative",2006,ENG
74KM79TiuVKeVCqs8QtB0B,1882fe91-cdd9-49c9-9956-8e06a3810bd4,Sabrina Carpenter,3394234,,"pop, rnb, electropop, country",2014,ENG
26VFTg2z8YR0cCuwLzESi2,3377f3bb-60fc-4403-aea9-7e800612e060,Halsey,2970594,,"pop, indie pop, indie, alternative, electronic, electropop, synthpop, pop rock",2014,ENG
66CXWjxzNUsdJxJ2JdwvnR,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,Ariana Grande,4683181,,"pop, rnb, dance, r&b, soul, dance-pop",2011,ENG
45dkTj5sMRSjrmBSBeiHym,f9133869-f87c-459c-9aa7-2f176cda7e06,Tate McRae,2374590,,"pop, electropop, electronic",2017,ENG
7ltDVBr6mKbRvohxheJ9h1,2ffc92fa-e51e-45ed-8a90-fa494aab50de,ROSALÍA,11287,,latin pop,2013,ESP
4q3ewBCX7sLwd24euuV69X,89aa5ecb-59ad-46f5-b3eb-2d424e941f19,Bad Bunny,2729288,,"reggaeton, trap, latin, trap latino, latin pop, rap, latin rap, pop rap",2016,ESP
52iwsT98xCoGgiGntTiR7K,ef9bb29f-f466-4e28-8064-32558f4bb2df,Quevedo,418490,,"reggaeton, rap, hip-hop, hip hop, dance pop",2020,ESP
0C8ZW7ezQVs4URX5aX7Kqx,e4bc69e2-a064-4f93-ada1-f7f209cc1cc3,Selena Gomez,3297308,,"pop, pop rock, dance, electropop, teen pop, rnb",2009,ENG
26dSoYclwsYLMAKD3tpOr4,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,Britney Spears,6629920,,"pop, dance, electronic",1998,ENG
1l7ZsJRRS8wlW3WfJfPfNS,b202beb7-99bd-47e7-8b72-195c8d72ebdd,Christina Aguilera,4603549,,"pop, soul, rnb, dance",1998,ENG
7eLcDZDYHXZCebtQmVFL25,a24f2bd3-0d1b-4c03-8d91-6297ab5a2811,Aitana,277210,,"pop, rock, pop rock, latin pop, electro-pop",2017,ESP
3bvfu2KAve4lPHrhEFDZna,,Lola Indigo,179652,,"pop, dance, latin pop, reggaeton, latin",2017,ESP
3fMbdgg4jU18AjLCKBhRSm,f27ec8db-af05-4f36-916e-3d57f91ecf5e,Michael Jackson,7191512,,"pop, dance, soul, funk, rock",1964,ENG
3MHaV05u0io8fQbZ2XPtlC,070d193a-845c-479f-980e-bef15710653e,Prince Royce,3549473,,"funk, pop, soul, rock, rnb",1975,ENG
19ra5tSw0tWufvUp8GotLo,ccb8f30e-4d71-40c4-8b1d-846dafe73e2c,George Michael,3377752,,"pop, soul, dance, funk",1981,ENG
72OaDtakiy6yFqkt4TsiFt,bfcc6d75-a6a5-4bc6-8282-47aec8531818,Cher,2259796,,"pop, dance, rock",1964,ENG
1HY2Jd0NmPuamShAr6KMms,650e7db6-b795-4eb5-a702-5ea2fc46c848,Lady Gaga,7915291,,"pop, dance, electronic, electropop",2005,ENG
0EmeFodog0BfCgMzAIvKQp,bf24ca37-25f4-4e34-9aec-460b94364cfc,Shakira,5076235,,"pop, latin, rock, dance",1990,ESP
2DlGxzQSjYe5N6G9nkYghR,f0602f55-1770-483d-89bd-4bae0d0ac086,Jennifer Lopez,3985275,,"pop, rnb, latin, dance, latin pop, r&b",1999,ENG
0TnOYISbd1XYRBk9myaseg,d262ea27-3ffe-40f7-b922-85c42d625e67,Pitbull,4586970,,"hip-hop, rap, reggaeton, hip hop, crunk, dance, pop, latin",2001,ENG
6M2wZ9GZgrQXHCFfjv46we,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f,Dua Lipa,3421508,,"pop, synthpop, electropop, dance-pop, nu-disco, dance, disco, dance pop",2014,ENG
1McMsnEElThX1knmY4oliG,6925db17-f35e-42f3-a4eb-84ee6bf5d4b0,Olivia Rodrigo,3350104,,"pop, pop rock, rock, indie pop, teen pop, pop punk, alt-pop, alternative rock",2019,ENG
711MCceyCBcFnzjGY4Q7Un,66c662b6-6e2f-4930-8610-912e24c63ed1,AC/DC,4671722,,"hard rock, classic rock, rock, heavy metal, metal, blues rock, rock and roll",1973,ENG
